provinsi;kab_kota;ADM2_PCODE;kepadatan_penduduk;laju_pertumbuhan;kemiskinan;rasio_jk;rasio_dokter;rasio_puskesmas;rasio_rs;TPT;sanitasi;butahuruf;krt_perempuan;pendidikan_rendah;balita;lansia;perkotaan;jamkes;tabungan;internet;telepon;informal;rata2_jumlah_ART;komersial_density;disabilitas;pelatihan_bencana;fasilitas_mitigasi;POI_density;area_terbangun
DKI Jakarta;Kepulauan Seribu;ID3101;2686.000;1.053;13.03;100.01;1.3322581780;3.9266556810;3.5059425730;7.93;89.10;0.024056;0.029139;0.366407;0.086656;0.088228;1.000000;0.002304;0.530117;0.769461;57.48911573;51.97348408;3.972079711;52.867132870;6.7314097400;100.00000000;100.00000000;10.815850820;5.531741482
DKI Jakarta;Jakarta Selatan;ID3171;15390.000;-0.219;3.03;100.65;1.3602575770;0.5582379006;2.2812606510;5.22;92.61;0.010172;0.031882;0.193383;0.074832;0.113351;1.000000;0.070095;0.709348;0.872335;71.90390408;34.30451755;3.827070032;72.270287430;2.2347408260;87.69230769;96.92307692;27.762829270;35.664788520
DKI Jakarta;Jakarta Timur;ID3172;16633.000;0.208;4.09;100.54;0.7799668660;0.4312223139;1.4287486310;6.95;97.15;0.012033;0.029112;0.183873;0.078991;0.103051;1.000000;0.035854;0.668991;0.828254;70.57742040;33.12479538;3.780154049;75.731117080;2.2535262490;83.07692308;98.46153846;27.131908290;33.615955860
DKI Jakarta;Jakarta Pusat;ID3173;21955.000;-0.477;4.63;102.66;4.1369885470;0.6709145213;3.5261132510;6.24;90.30;0.007364;0.038783;0.185008;0.064007;0.132297;1.000000;0.018001;0.722220;0.825980;70.91508594;38.85666590;3.605160918;154.819720400;2.4311121360;95.45454546;100.00000000;44.318301270;35.245237930
DKI Jakarta;Jakarta Barat;ID3174;19837.000;0.385;3.94;101.10;0.8951221309;0.4858193384;1.0930935110;6.18;94.94;0.024077;0.041947;0.220595;0.076584;0.100131;1.000000;0.048894;0.632136;0.826547;69.49394930;34.99285206;3.735286566;91.512000000;3.4630821840;92.85714286;100.00000000;28.320000000;37.489570450
DKI Jakarta;Jakarta Utara;ID3175;12333.000;0.365;6.44;101.68;0.9347783426;0.4333922061;1.5478293080;6.18;91.39;0.016605;0.043199;0.216319;0.076498;0.099723;1.000000;0.044811;0.660052;0.814497;69.33828375;36.62190822;3.737942530;95.236801350;2.0193644500;100.00000000;100.00000000;20.487460260;26.939027680
Jawa Barat;Bogor;ID3201;1899.000;0.983;7.05;105.16;0.4047656759;0.2843918836;0.5455537370;7.34;67.18;0.025442;0.028025;0.407198;0.085881;0.082816;0.952520;0.277097;0.394680;0.746326;57.56961893;42.09990040;3.971445437;23.869067910;1.3114407900;50.80459770;97.01149425;6.264832307;6.146821072
Jawa Barat;Sukabumi;ID3202;679.000;0.914;6.87;102.78;0.2241851189;0.3281447797;0.3182438597;7.11;51.90;0.021311;0.029134;0.544999;0.079373;0.120878;0.581269;0.353586;0.395466;0.605340;51.47690741;62.50900688;3.628428976;10.205684230;2.3613694390;55.95854922;92.74611399;4.880467803;1.935091730
Jawa Barat;Cianjur;ID3203;712.000;1.052;10.14;104.70;0.1605422071;0.2909102163;0.2707940843;5.99;63.30;0.028632;0.023668;0.517793;0.080888;0.124166;0.503522;0.504797;0.345718;0.681199;51.08021625;67.68262490;3.613992450;9.838873103;2.0692536530;52.22222222;95.27777778;5.842089033;2.080490026
Jawa Barat;Bandung;ID3204;2156.000;0.860;6.19;103.53;0.2821652385;0.2643134246;0.4529564735;6.36;69.12;0.015588;0.023281;0.362042;0.082489;0.102314;0.992219;0.355308;0.422483;0.728461;56.68408319;42.71826625;3.853084187;38.442361160;2.0257812170;63.21428571;98.92857143;8.407435491;5.950984783
Jawa Barat;Garut;ID3205;876.000;1.241;9.68;104.57;0.1939675003;0.3945600766;0.3312537956;6.96;49.99;0.017269;0.024666;0.496422;0.084502;0.128384;0.596455;0.483718;0.396383;0.704158;48.75322079;63.44296863;3.989408401;12.850343730;3.1940227090;50.00000000;95.24886878;5.793811508;2.189261080
Jawa Barat;Tasikmalaya;ID3206;710.000;0.724;10.23;102.44;0.1556545822;0.3331736876;0.1561751661;3.74;54.68;0.014176;0.029935;0.524019;0.069808;0.156051;0.414804;0.522889;0.445573;0.587164;51.84279132;65.70300298;3.518234194;8.846355687;3.5332028400;66.66666667;95.72649573;5.343587621;1.875333070
Jawa Barat;Ciamis;ID3207;789.000;0.615;7.39;99.89;0.2533294156;0.4701285706;0.4764816594;3.37;77.12;0.015796;0.027420;0.512643;0.061170;0.191039;0.456334;0.331480;0.486588;0.698724;57.17445992;63.27335845;3.316534556;14.279358870;4.3621895920;79.24528302;100.00000000;6.544732258;2.901097044
Jawa Barat;Kuningan;ID3208;1018.000;1.007;11.88;102.55;0.3772869935;0.4876722711;1.0709019470;7.78;84.64;0.029436;0.022654;0.517101;0.069173;0.171989;0.582520;0.248352;0.435258;0.680332;54.97329938;60.69716221;3.761628095;17.244530140;4.3272676350;42.28723404;100.00000000;5.423757230;4.018307781
Jawa Barat;Cirebon;ID3209;2228.000;1.169;11.00;102.51;0.4543627196;0.4020167842;0.5443977286;6.74;87.92;0.061647;0.037284;0.462308;0.071211;0.118034;0.930300;0.256973;0.394426;0.661592;53.60097100;53.55415390;3.695684901;30.058304960;3.1734199900;34.43396226;92.92452830;8.777461635;7.917894288
Jawa Barat;Majalengka;ID3210;1017.000;0.888;10.82;100.57;0.2410279918;0.3785470300;0.4436098008;4.01;83.61;0.045275;0.030586;0.529300;0.067566;0.172046;0.617981;0.308319;0.437774;0.630289;50.46898578;56.82633211;3.380643723;18.729184990;3.6109837790;32.65306122;99.12536443;6.351067909;3.957611056
Jawa Barat;Sumedang;ID3211;758.000;0.755;9.10;101.48;0.3622181227;0.4717259272;0.4211838636;6.16;77.32;0.030299;0.031295;0.445690;0.065249;0.174223;0.585326;0.273782;0.486994;0.706381;55.39872257;62.47870213;3.343517757;17.330481420;3.6306049040;61.37184116;100.00000000;4.046098838;3.093664786
Jawa Barat;Indramayu;ID3212;922.000;1.040;11.93;100.67;0.2998892395;0.4096048149;0.6269461453;6.25;97.27;0.071723;0.037116;0.479436;0.067468;0.134413;0.578335;0.374911;0.477505;0.662688;53.06553312;65.50854900;3.345952857;10.836392010;2.5553279970;23.34384858;88.32807571;3.719063996;3.550326349
